p,X,group,profile,Y,stages,relative_error,valid
8,1e+300,grid,trim_target,1.19241085612989,3,5.148673873066351e-07,True
8,1.7976931348623157e+308,grid,ideal,1.6241700949613003,3,9.107298248878236e-18,True
8,1.7976931348623157e+308,grid,untrimmed,1.6241700949613003,3,3.0106219844827038e-05,True
8,1.7976931348623157e+308,grid,trim_target,1.6241700949613003,3,8.933587423745269e-07,True
9,5e-324,grid,ideal,1.4447869881787483,4,6.062803260450776e-18,True
9,5e-324,grid,untrimmed,1.4447869881787483,4,2.2336519979154065e-05,True
9,5e-324,grid,trim_target,1.4447869881787483,4,7.399490517586971e-07,True
9,2.2250738585072014e-308,grid,ideal,1.20135498046875,4,7.239807030249952e-18,True
9,2.2250738585072014e-308,grid,untrimmed,1.20135498046875,4,1.469277304663734e-05,True
9,2.2250738585072014e-308,grid,trim_target,1.20135498046875,4,5.520203649856661e-07,True
9,1e-300,grid,ideal,1.6107871097144486,4,1.790978399395054e-17,True
9,1e-300,grid,untrimmed,1.6107871097144486,4,2.927119200660592e-05,True
9,1e-300,grid,trim_target,1.6107871097144486,4,9.019581846098012e-07,True
9,1e-100,grid,ideal,1.7498005798264096,4,6.251487643805412e-18,True
9,1e-100,grid,untrimmed,1.7498005798264096,4,3.596156778376202e-05,True
9,1e-100,grid,trim_target,1.7498005798264096,4,1.0543295285444355e-06,True
9,0.001,grid,ideal,1.4778918800354004,4,6.173382821616547e-18,True
9,0.001,grid,untrimmed,1.4778918800354004,4,2.3621551928509457e-05,True
9,0.001,grid,trim_target,1.4778918800354004,4,7.703300122813234e-07,True
9,0.125,grid,ideal,1.4447869881787483,4,6.062803260450776e-18,True
9,0.125,grid,untrimmed,1.4447869881787483,4,2.2350025235052855e-05,True
9,0.125,grid,trim_target,1.4447869881787483,4,7.399590674704114e-07,True
9,0.5,grid,ideal,1.4432537890970707,4,8.155540448130746e-18,True
9,0.5,grid,untrimmed,1.4432537890970707,4,2.227827378346637e-05,True
9,0.5,grid,trim_target,1.4432537890970707,4,7.385669725190749e-07,True
9,0.9999999999999999,grid,ideal,1.7256807258963816,4,7.6086121259742655e-34,True
9,0.9999999999999999,grid,untrimmed,1.7256807258963816,4,3.475514841898929e-05,True
9,0.9999999999999999,grid,trim_target,1.7256807258963816,4,1.026919637112811e-06,True
9,1,grid,ideal,1,4,0.0,True
9,1,grid,untrimmed,1,4,1.1419428656850494e-05,True
9,1,grid,trim_target,1,4,4.5678960404504897e-07,True
9,1.0000000000000002,grid,ideal,1.0000000000000002,4,3.0434448503897055e-33,True
9,1.0000000000000002,grid,untrimmed,1.0000000000000002,4,1.1420077926979469e-05,True
9,1.0000000000000002,grid,trim_target,1.0000000000000002,4,4.5679064288032283e-07,True
9,2,grid,ideal,2,4,4.239654709228625e-18,True
9,2,grid,untrimmed,2,4,4.948478953496965e-05,True
9,2,grid,trim_target,2,4,1.3596547403860586e-06,True
9,3,grid,ideal,1.6782735201559262,4,7.442030738085129e-18,True
9,3,grid,untrimmed,1.6782735201559262,4,3.244329011250949e-05,True
9,3,grid,trim_target,1.6782735201559262,4,9.742087726576838e-07,True
9,10,grid,ideal,1.5431577591516543,4,2.838986373060542e-18,True
9,10,grid,untrimmed,1.5431577591516543,4,2.6301877059111397e-05,True
9,10,grid,trim_target,1.5431577591516543,4,8.331179590390945e-07,True
9,500000,grid,ideal,1.9073486328125,4,6.076030794506987e-18,True
9,500000,grid,untrimmed,1.9073486328125,4,4.4303661275928844e-05,True
9,500000,grid,trim_target,1.9073486328125,4,1.2424139026810945e-06,True
9,1e+100,grid,ideal,1.6496208833583195,4,6.211522358848599e-18,True
9,1e+100,grid,untrimmed,1.6496208833583195,4,3.105857376195008e-05,True
9,1e+100,grid,trim_target,1.6496208833583195,4,9.43108568933403e-07,True
9,1e+300,grid,ideal,1.3906711615670009,4,1.48066207395474e-17,True
9,1e+300,grid,untrimmed,1.3906711615670009,4,2.0362153371488882e-05,True
9,1e+300,grid,trim_target,1.3906711615670009,4,6.925657468922366e-07,True
9,1.7976931348623157e+308,grid,ideal,1.8626451492309568,4,7.569911397984135e-18,True
9,1.7976931348623157e+308,grid,untrimmed,1.8626451492309568,4,4.181108671816187e-05,True
9,1.7976931348623157e+308,grid,trim_target,1.8626451492309568,4,1.1874973463919492e-06,True
10,5e-324,grid,ideal,1.5097568161436357,4,4.8570328334520955e-18,True
10,5e-324,grid,untrimmed,1.5097568161436357,4,2.183739911717004e-05,True
10,5e-324,grid,trim_target,1.5097568161436357,4,6.948146266418805e-07,True
10,2.2250738585072014e-308,grid,ideal,1.394043069422196,4,1.3251328115165838e-18,True
10,2.2250738585072014e-308,grid,untrimmed,1.394043069422196,4,1.7922343816194203e-05,True
10,2.2250738585072014e-308,grid,trim_target,1.394043069422196,4,6.045545190922006e-07,True
10,1e-300,grid,ideal,1.3434742922065321,4,1.8872096813293677e-17,True
10,1e-300,grid,untrimmed,1.3434742922065321,4,1.6416222982252366e-05,True
10,1e-300,grid,trim_target,1.3434742922065321,4,5.68885810007264e-07,True
