time,state,q,residual,candidate,denominator,target,stagepeak,delta,first,corpeak,innerden,stored,stored_read,candidate_current_A,transfer_current_A
1.106800439567259180e-04,8.369424494666831439e-08,2.950709378474049086e-06,1.216002190577002651e+00,-1.888155357693877823e-01,2.288002916478813376e+00,-1.888172216721475394e-01,2.978835205900996021e-06,-1.888213560723601969e-01,8.741198581582428906e-01,8.742933145163958031e-01,1.144001458238326663e+00,-6.033243025853960869e-10,3.045518135463837754e-05,-1.685902755748395660e-07,-5.720972016463763422e-13
1.121917429711338451e-04,8.488520973763420764e-08,2.154863024585615311e-06,1.216002892292162629e+00,-1.888179338274399155e-01,2.288003852099012914e+00,-1.888193138294145257e-01,2.356265826423536923e-06,-1.888213377371607549e-01,8.741185909353629269e-01,8.742930417804346543e-01,1.144001926048426432e+00,-6.119732975548454493e-10,3.045517270573830335e-05,-1.380001972423446940e-07,-5.721042772513978151e-13
1.149215099537449688e-04,8.703580739776169635e-08,-4.383376462692661924e-07,1.216001222648642077e+00,-1.888202883678065935e-01,2.288001625907685188e+00,-1.888206734716800228e-01,1.447253748520758009e-06,-1.888177302422651138e-01,8.741191083965820230e-01,8.742945472437927412e-01,1.144000812952762569e+00,-6.275915267870134618e-10,3.045515708764864353e-05,-3.851038733825875582e-08,-5.721138771840087357e-13
1.188869772048353339e-04,9.015992921593579193e-08,-4.479652173153414299e-06,1.215996595965444405e+00,-1.888204186929861306e-01,2.287995456996847032e+00,-1.888202644074374048e-01,5.502833977536220953e-06,-1.888098313027606057e-01,8.741225813772885989e-01,8.742984153978823336e-01,1.143997728497343491e+00,-6.502798971767010698e-10,3.045513439936955535e-05,1.542855487193169795e-08,-5.721166770514157838e-13
1.203804099948343705e-04,9.133650329072325683e-08,-5.890670820420588932e-06,1.215994755555928064e+00,-1.888200628672372927e-01,2.287993003117528179e+00,-1.888193884168340997e-01,6.340835753038286650e-06,-1.888067686909274401e-01,8.741241195747463388e-01,8.743000245514719326e-01,1.143996501557684287e+00,-6.588245430111020028e-10,3.045512585474175775e-05,6.744504029649930948e-08,-5.721160964103304410e-13
1.216622482490938636e-04,9.234637642859830002e-08,-5.773719893625895028e-06,1.215993602375880167e+00,-1.888184547309307293e-01,2.287991465544153780e+00,-1.888167942752720929e-01,5.747333576220979722e-06,-1.888049395983606160e-01,8.741255392832143478e-01,8.743014580256586177e-01,1.143995732770997087e+00,-6.661585191807925058e-10,3.045511852076169211e-05,1.660455654813066865e-07,-5.721136601741675078e-13
1.240932895603125553e-04,9.426162845723082129e-08,-4.168154234999163417e-06,1.215993833112417821e+00,-1.888142834788113233e-01,2.287991773192866063e+00,-1.888127612032242109e-01,4.622291203813591395e-06,-1.888037412276612204e-01,8.741276835113593879e-01,8.743031239909214714e-01,1.143995886595353229e+00,-6.800673821367084610e-10,3.045510461182842184e-05,1.522275584161242745e-07,-5.721027481028177735e-13
1.279044277659711643e-04,9.726416491929182181e-08,-1.189432721693291386e-06,1.215996967663114603e+00,-1.888099973275909060e-01,2.287995952593733229e+00,-1.888091305076107229e-01,1.741402368193513653e-06,-1.888050161668507199e-01,8.741288447343407153e-01,8.743037868097156551e-01,1.143997976295786589e+00,-7.018717685840390544e-10,3.045508280735382769e-05,8.668199796521612972e-08,-5.720878492167919430e-13
1.301073827999666311e-04,9.899972328928722944e-08,5.433708367990687963e-07,1.215999057206968326e+00,-1.888081932246475358e-01,2.287998738652163411e+00,-1.888073694327403185e-01,1.233930976867518947e-06,-1.888061469145679572e-01,8.741290242031585223e-01,8.743038690420490422e-01,1.143999369325001680e+00,-7.144751839854717193e-10,3.045507020391425139e-05,8.237919067628101838e-08,-5.720819152427766380e-13
1.317281312114400792e-04,1.002766006777455083e-07,9.496493097006360260e-07,1.216000345685285478e+00,-1.888069834468179276e-01,2.288000456623227041e+00,-1.888063996344392648e-01,9.773739154542405657e-07,-1.888070851170758069e-01,8.741286009444231286e-01,8.743029662597359142e-01,1.144000228310533496e+00,-7.237476381269677279e-10,3.045506093144637012e-05,5.838123785035707965e-08,-5.720779541779020173e-13
